,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
5229,109.5390379,332.8269729,71.70129539,80.8451504,0.021539931,0.072823351,14.9471936,6566,66,solo,37,7.97,686.18,SK0506_6_solo555_37_mono.wav
5230,99.88425971,560.8672065,70.27302681,79.58856093,0.016872746,0.051969856,16.2816934,6566,66,solo,38,7.63,657.41,SK0506_6_solo555_38_mono.wav
5231,100.7110796,572.9209356,68.83605955,79.25386551,0.019517593,0.065947806,16.5971884,6566,66,solo,39,6.45,555.86,SK0506_6_solo555_39_mono.wav
5232,71.60937684,301.4490292,69.84313327,86.47340316,0.015830006,0.066759604,17.9968599,6566,66,solo,3,4.94,425.37,SK0506_6_solo555_3_mono.wav
5233,92.47908693,301.4636741,68.99379696,82.95067238,0.016491981,0.056334468,15.5458395,6566,66,solo,40,6.1,525.62,SK0506_6_solo555_40_mono.wav
5234,78.41344242,333.6128821,64.39824388,74.30523524,0.019857541,0.067207514,16.1265612,6566,66,solo,41,5.9,508.31,SK0506_6_solo555_41_mono.wav
5235,88.50080467,574.5270632,69.56626828,87.08820554,0.022106716,0.070248556,17.1932069,6566,66,solo,42,4.64,399.53,SK0506_6_solo555_42_mono.wav
5236,96.36587236,367.6432287,70.46152255,79.73086299,0.019887498,0.080687403,14.3965088,6566,66,solo,43,7.74,667.06,SK0506_6_solo555_43_mono.wav
5237,95.58820057,372.654687,70.15874506,79.43631863,0.021318946,0.063507208,13.5663174,6566,66,solo,44,8.35,719.6,SK0506_6_solo555_44_mono.wav
5238,83.76651267,306.7076068,73.6979664,88.09098555,0.017427551,0.070588631,16.5868149,6566,66,solo,45,6.12,527.26,SK0506_6_solo555_45_mono.wav
5239,111.9875557,572.1048939,66.8030363,76.41580278,0.018536249,0.076937809,15.5425156,6566,66,solo,46,6.6,568.61,SK0506_6_solo555_46_mono.wav
5240,93.29767947,537.7557697,69.50820408,79.61089524,0.019983044,0.058994656,15.0129103,6566,66,solo,47,5.61,482.99,SK0506_6_solo555_47_mono.wav
5241,76.14901978,348.2912586,67.18379049,83.11786634,0.0141774,0.060474102,15.1842432,6566,66,solo,48,6.42,552.76,SK0506_6_solo555_48_mono.wav
5242,92.33291468,395.7487267,69.86752886,79.63004038,0.020160681,0.05717591,13.3621614,6566,66,solo,49,7.59,653.45,SK0506_6_solo555_49_mono.wav
